EBELN,EBELP,BSART,BSTYP,STATU,AEDAT,BEDAT,LIFNR,VENDOR_NAME,EKORG,EKGRP,WAERS,WKURS,MATNR,TXZ01,MATKL,WERKS,LGORT,MENGE,MEINS,NETPR,NETWR,BWART,BUDAT,MBLNR,MJAHR,ZEILE,KOSTL,AUFNR,INCO1,ZTERMS,LOEKZ,SECTION_SOURCE
4500001386,30,ZFUE,F,E,20230202,31.03.2023,100042,BPCL Fuel Supply Ltd,IN00,PET,INR,1,LUBE-00111,Engine Oil 15W40,LUBR,IN_MUM,TK02,30141,L,90.61,2731076.01,102,20230812,5000000851,2023,4,MFUEL01,600000045,FOB,NT30,,PRD_DE_SE16N
4516350753,10,ZFUE,F,E,05.10.2024,20240719,800022,Gulf Oil Lubricants India,ZIND,ZF1,INR,,ADV-00200,AdBlue DEF Solution,CHEM,CHN1,,35258,L,85.46,3013148.68,122,06.01.2024,5000083320,2024,2,MFUEL01,600000001,FOB,NT45,,PRD_DE_SE16N
4500001727,10,ZFUE,F,,20231120,08/23/2023,200078,HPCL Petroleum Corp,CORP,ZF1,INR,1,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,IN02,TANK,188.639,MT,95010.94,17922768.71,541,20230309,,,,MFUEL01,,,14,,PRD_DE_SE16N
4500001623,30,ZNB,F,B,02-09-2024,20230307,500033,Shell India Markets Pvt,1000,F01,INR,,HFO-00009,Heavy Fuel Oil,FUEL,MUMB,FUEL,111.092,TO,95539.45,10613668.58,101,20240625,5000014621,2024,4,,,CFR,NT45,,PRD_DE_SE16N
4500001105,30,ZFU,F,U,20240515,01.01.2023,800022,Gulf Oil Lubricants India,ZIND,PET,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,IN_MUM,FT01,41600,L,"88,08",3664128,101,01-07-2024,5000099693,2025,2,CC-DEL-002,OR-2024-002,,Z030,,PRD_DE_SE16N
4500000248,10,FO,F,U,20240721,20231213,600047,Essar Oil,CORP,10,INR,,LUBE-00112,Hydraulic Oil 46,LUBR,2100,TK02,35421,L,"85,59",3031683.39,122,20230814,5000087684,2024,2,2000010,OR-2024-002,,Z030,,PRD_DE_SE16N
4500000125,20,ZFUE,F,U,14.07.2023,20230422,300015,IOC Bulk Fuels,CORP,ZZ1,INR,1,KER-00004,Kerosene SKO,FUEL,IN04,,142.88,KL,87498.06,12501722.81,102,20230524,5000001934,2023,2,,OR-2024-002,CIF,NT45,,PRD_DE_SE16N
4500000608,10,ZNB,F,B,04.03.2023,16.08.2024,300015,IOC Bulk Fuels,INPU,11,INR,,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,4000,TK01,95.881,MT,95355.1,9142742.34,101,20230228,5000052923,2023,5,CC-DEL-002,OR-2024-001,DDP,Z045,,PRD_DE_SE16N
4500001903,10,UB,U,,30-07-2024,20230110,200078,HPCL Petroleum Corp,CORP,FUL,USD,,LUBE-00111,Engine Oil 15W40,LUBR,IN03,,25344,L,1.03,26104.32,541,17.03.2023,,,,1000010,,CIF,Z045,,PRD_DE_SE16N
4500001239,20,ZFU,F,U,28.09.2023,28.07.2023,200078,HPCL Petroleum Corp,1000,F02,INR,,LUBE-00111,Engine Oil 15W40,LUBR,IN_MUM,TK02,42321,L,85.92,3636220.32,261,15-09-2023,,,,CC-MUM-001,,CIF,NT30,,PRD_DE_SE16N
